block_number,block_date,tx_count,private_tx_count
19341975,2024-03-01,185,11
19341976,2024-03-01,382,16
19341977,2024-03-01,205,0
19341978,2024-03-01,219,16
19341979,2024-03-01,288,27
19341980,2024-03-01,209,0
19341981,2024-03-01,238,0
19341982,2024-03-01,189,19
19341983,2024-03-01,172,20
19341984,2024-03-01,190,19
19341985,2024-03-01,168,0
19341986,2024-03-01,204,0
19341987,2024-03-01,201,0
19341988,2024-03-01,171,0
19341989,2024-03-01,138,0
19341990,2024-03-01,609,22
19341991,2024-03-01,193,10
19341992,2024-03-01,146,0
19341993,2024-03-01,188,17
19341994,2024-03-01,115,0
19341995,2024-03-01,117,12
19341996,2024-03-01,199,20
19341997,2024-03-01,170,80
19341998,2024-03-01,243,16
19341999,2024-03-01,155,55
19342000,2024-03-01,108,15
19342001,2024-03-01,159,15
19342002,2024-03-01,71,6
19342003,2024-03-01,181,23
19342004,2024-03-01,307,43
19342005,2024-03-01,159,20
19342006,2024-03-01,214,14
19342007,2024-03-01,126,13
19342008,2024-03-01,132,16
19342009,2024-03-01,204,23
19342010,2024-03-01,115,6
19342011,2024-03-01,233,20
19342012,2024-03-01,165,12
19342013,2024-03-01,143,22
19342014,2024-03-01,139,17
19342015,2024-03-01,252,26
19342016,2024-03-01,187,21
19342017,2024-03-01,68,0
19342018,2024-03-01,254,0
19342019,2024-03-01,210,0
19342020,2024-03-01,155,0
19342021,2024-03-01,150,0
19342022,2024-03-01,143,0
19342023,2024-03-01,271,32
19342024,2024-03-01,32,0
19342025,2024-03-01,17,12
19342026,2024-03-01,362,30
19342027,2024-03-01,195,17
19342028,2024-03-01,250,23
19342029,2024-03-01,195,27
19342030,2024-03-01,172,11
19342031,2024-03-01,232,25
19342032,2024-03-01,137,23
19342033,2024-03-01,133,16
19342034,2024-03-01,127,16
19342035,2024-03-01,85,11
19342036,2024-03-01,167,16
19342037,2024-03-01,52,0
19342038,2024-03-01,195,23
19342039,2024-03-01,7,6
19342040,2024-03-01,230,25
19342041,2024-03-01,287,31
19342042,2024-03-01,380,23
19342043,2024-03-01,144,11
19342044,2024-03-01,143,25
19342045,2024-03-01,142,18
19342046,2024-03-01,183,14
19342047,2024-03-01,132,18
19342048,2024-03-01,160,34
19342049,2024-03-01,146,12
19342050,2024-03-01,137,17
19342051,2024-03-01,250,27
19342052,2024-03-01,103,23
19342053,2024-03-01,147,21
19342054,2024-03-01,95,20
19342055,2024-03-01,99,14
19342056,2024-03-01,121,0
19342057,2024-03-01,357,0
19342058,2024-03-01,271,16
19342059,2024-03-01,133,14
19342060,2024-03-01,177,0
19342061,2024-03-01,201,23
19342062,2024-03-01,133,23
19342063,2024-03-01,394,20
19342064,2024-03-01,119,9
19342065,2024-03-01,184,16
19342066,2024-03-01,164,27
19342067,2024-03-01,129,20
19342068,2024-03-01,199,31
19342069,2024-03-01,120,19
19342070,2024-03-01,167,17
19342071,2024-03-01,226,0
19342072,2024-03-01,133,0
19342073,2024-03-01,111,17
19342074,2024-03-01,205,16
19342075,2024-03-01,90,0
19342076,2024-03-01,162,21
19342077,2024-03-01,317,16
19342078,2024-03-01,166,18
19342079,2024-03-01,158,13
19342080,2024-03-01,148,20
19342081,2024-03-01,176,13
19342082,2024-03-01,138,6
19342083,2024-03-01,159,13
19342084,2024-03-01,173,0
19342085,2024-03-01,134,34
19342086,2024-03-01,168,19
19342087,2024-03-01,103,16
19342088,2024-03-01,175,13
19342089,2024-03-01,110,13
19342090,2024-03-01,128,16
19342091,2024-03-01,181,18
19342092,2024-03-01,389,15
19342093,2024-03-01,138,0
19342094,2024-03-01,10,4
19342095,2024-03-01,256,26
19342096,2024-03-01,203,21
19342097,2024-03-01,15,7
19342098,2024-03-01,196,19
19342099,2024-03-01,89,10
19342100,2024-03-01,143,20
19342101,2024-03-01,210,20
19342102,2024-03-01,62,0
19342103,2024-03-01,327,26
19342104,2024-03-01,271,30
19342105,2024-03-01,127,20
19342106,2024-03-01,163,11
19342107,2024-03-01,171,20
19342108,2024-03-01,88,12
19342109,2024-03-01,139,14
19342110,2024-03-01,200,15
19342111,2024-03-01,148,12
19342112,2024-03-01,53,0
19342113,2024-03-01,272,37
19342114,2024-03-01,148,26
19342115,2024-03-01,203,0
19342116,2024-03-01,185,0
19342117,2024-03-01,224,18
19342118,2024-03-01,130,17
19342119,2024-03-01,109,15
19342120,2024-03-01,131,18
19342121,2024-03-01,233,14
19342122,2024-03-01,101,0
19342123,2024-03-01,209,24
19342124,2024-03-01,116,13
19342125,2024-03-01,161,20
19342126,2024-03-01,392,23
19342127,2024-03-01,143,13
19342128,2024-03-01,245,18
19342129,2024-03-01,192,8
19342130,2024-03-01,167,0
19342131,2024-03-01,195,7
19342132,2024-03-01,139,16
19342133,2024-03-01,229,10
19342134,2024-03-01,177,16
19342135,2024-03-01,153,12
19342136,2024-03-01,238,24
19342137,2024-03-01,129,3
19342138,2024-03-01,189,11
19342139,2024-03-01,185,18
19342140,2024-03-01,187,13
19342141,2024-03-01,165,8
19342142,2024-03-01,179,26
19342143,2024-03-01,157,16
19342144,2024-03-01,122,13
19342145,2024-03-01,157,19
19342146,2024-03-01,155,10
19342147,2024-03-01,125,16
19342148,2024-03-01,117,14
19342149,2024-03-01,224,19
19342150,2024-03-01,119,10
19342151,2024-03-01,224,17
19342152,2024-03-01,154,12
19342153,2024-03-01,268,23
19342154,2024-03-01,16,3
19342155,2024-03-01,312,37
19342156,2024-03-01,243,23
19342157,2024-03-01,123,10
19342158,2024-03-01,106,9
19342159,2024-03-01,169,16
19342160,2024-03-01,141,15
19342161,2024-03-01,173,14
19342162,2024-03-01,4,3
19342163,2024-03-01,387,33
19342164,2024-03-01,229,25
19342165,2024-03-01,133,16
19342166,2024-03-01,96,0
19342167,2024-03-01,74,0
19342168,2024-03-01,345,32
19342169,2024-03-01,139,25
19342170,2024-03-01,178,20
19342171,2024-03-01,170,10
19342172,2024-03-01,149,22
19342173,2024-03-01,145,21
19342174,2024-03-01,170,20
19342175,2024-03-01,159,12
19342176,2024-03-01,274,19
19342177,2024-03-01,35,14
19342178,2024-03-01,340,21
19342179,2024-03-01,155,11
19342180,2024-03-01,148,20
19342181,2024-03-01,174,7
19342182,2024-03-01,161,22
19342183,2024-03-01,139,8
19342184,2024-03-01,229,29
19342185,2024-03-01,140,14
19342186,2024-03-01,111,0
19342187,2024-03-01,226,16
19342188,2024-03-01,144,32
19342189,2024-03-01,216,14
19342190,2024-03-01,82,20
19342191,2024-03-01,143,14
19342192,2024-03-01,62,15
19342193,2024-03-01,180,0
19342194,2024-03-01,90,15
19342195,2024-03-01,181,26
19342196,2024-03-01,173,11
19342197,2024-03-01,327,14
19342198,2024-03-01,111,15
19342199,2024-03-01,186,19
19342200,2024-03-01,128,15
19342201,2024-03-01,185,19
19342202,2024-03-01,124,18
19342203,2024-03-01,20,9
19342204,2024-03-01,249,19
19342205,2024-03-01,104,17
19342206,2024-03-01,277,32
19342207,2024-03-01,257,40
19342208,2024-03-01,155,22
19342209,2024-03-01,168,12
19342210,2024-03-01,126,19
19342211,2024-03-01,185,23
19342212,2024-03-01,154,0
19342213,2024-03-01,145,18
19342214,2024-03-01,154,9
19342215,2024-03-01,164,20
19342216,2024-03-01,168,15
19342217,2024-03-01,159,17
19342218,2024-03-01,162,10
19342219,2024-03-01,144,0
19342220,2024-03-01,149,30
19342221,2024-03-01,187,19
19342222,2024-03-01,160,0
19342223,2024-03-01,171,28
19342224,2024-03-01,176,13
19342225,2024-03-01,175,25
19342226,2024-03-01,152,14
19342227,2024-03-01,200,19
19342228,2024-03-01,140,12
19342229,2024-03-01,122,0
19342230,2024-03-01,179,38
19342231,2024-03-01,162,14
19342232,2024-03-01,157,13
19342233,2024-03-01,62,0
19342234,2024-03-01,184,21
19342235,2024-03-01,247,17
19342236,2024-03-01,219,8
19342237,2024-03-01,158,21
19342238,2024-03-01,123,15
19342239,2024-03-01,156,19
19342240,2024-03-01,149,16
19342241,2024-03-01,230,20
19342242,2024-03-01,148,10
19342243,2024-03-01,124,18
19342244,2024-03-01,133,25
19342245,2024-03-01,160,15
19342246,2024-03-01,206,29
19342247,2024-03-01,329,18
19342248,2024-03-01,118,24
19342249,2024-03-01,96,15
19342250,2024-03-01,144,9
19342251,2024-03-01,301,35
19342252,2024-03-01,166,9
19342253,2024-03-01,178,25
19342254,2024-03-01,169,14
19342255,2024-03-01,169,0
19342256,2024-03-01,163,14
19342257,2024-03-01,97,11
19342258,2024-03-01,264,0
19342259,2024-03-01,157,14
19342260,2024-03-01,215,0
19342261,2024-03-01,163,25
19342262,2024-03-01,127,13
19342263,2024-03-01,185,26
19342264,2024-03-01,128,20
19342265,2024-03-01,181,17
19342266,2024-03-01,112,21
19342267,2024-03-01,122,0
19342268,2024-03-01,161,0
19342269,2024-03-01,321,14
19342270,2024-03-01,153,17
19342271,2024-03-01,145,0
19342272,2024-03-01,106,16
19342273,2024-03-01,209,23
