block_date,total_transactions,mined,unmined
2023-04-27,1603,1545,58
2023-04-28,2305,2220,85
2023-04-29,2093,2007,86
2023-04-30,2632,2552,80
2023-05-01,3029,2955,74
2023-05-02,2431,2334,97
2023-05-03,3437,3249,188
2023-05-04,3311,3235,76
2023-05-05,2861,2785,76
2023-05-06,3694,3621,73
2023-05-07,4356,4277,79
2023-05-08,3081,2977,104
2023-05-09,3407,3323,84
2023-05-10,3196,3127,69
2023-05-11,4027,3945,82
2023-05-12,4013,2944,1069
2023-05-13,2734,2677,57
2023-05-14,3072,3020,52
2023-05-17,4365,4251,114
2023-05-18,3767,3681,86
2023-05-19,3481,3366,115
2023-05-20,2630,2581,49
2023-05-21,4341,4205,136
2023-05-22,5534,5429,105
2023-05-23,4839,4763,76
2023-05-24,4165,4086,79
2023-05-25,3381,3305,76
2023-05-26,4780,4690,90
2023-05-27,2639,2543,96
2023-05-28,3599,3517,82
2023-05-29,4432,4350,82
2023-05-30,5548,5431,117
2023-05-31,4498,4424,74
2023-06-01,4667,4564,103
2023-06-02,3919,3770,149
2023-06-03,3793,3675,118
2023-06-04,3731,3672,59
2023-06-05,4698,4572,126
2023-06-06,3986,3881,105
2023-06-07,4155,4104,51
2023-06-08,4087,4046,41
2023-06-09,3150,3067,83
2023-06-10,1994,1874,120
2023-06-11,1836,1742,94
2023-06-12,3155,3047,108
2023-06-13,2794,2735,59
2023-06-14,2999,2902,97
2023-06-15,3258,3180,78
2023-06-16,2165,2068,97
2023-06-17,2235,2186,49
2023-06-18,4445,4357,88
2023-06-19,3947,3842,105
2023-06-20,4076,3861,215
2023-06-21,3743,3644,99
2023-06-22,3750,3685,65
2023-06-23,4191,4101,90
2023-06-24,3027,2951,76
2023-06-25,2207,2149,58
2023-06-26,3680,3584,96
2023-06-27,3319,3217,102
2023-06-28,2994,2959,35
2023-06-29,6248,6145,103
2023-06-30,5385,5267,118
2023-07-01,4824,4725,99
2023-07-02,4558,4428,130
2023-07-03,3943,3775,168
2023-07-04,2049,2010,39
2023-07-05,3458,3386,72
2023-07-06,5742,5581,161
2023-07-07,6574,6383,191
2023-07-08,5436,5376,60
2023-07-09,5604,5520,84
2023-07-10,5008,4889,119
2023-07-11,5065,4979,86
2023-07-12,4777,4736,41
2023-07-13,4230,4089,141
2023-07-14,4240,4032,208
2023-07-15,3994,3950,44
2023-07-16,3829,3761,68
2023-07-17,4832,4729,103
2023-07-18,4965,4909,56
2023-07-19,4224,4165,59
2023-07-20,6338,6253,85
2023-07-21,6741,6614,127
2023-07-22,4472,4367,105
2023-07-23,4852,4751,101
2023-07-24,5572,5480,92
2023-07-25,6537,6431,106
2023-07-26,6017,5877,140
2023-07-27,5730,5642,88
2023-07-28,5006,4890,116
2023-07-29,4661,4590,71
2023-07-30,2828,2753,75
2023-07-31,3947,3836,111
2023-08-01,5086,4981,105
2023-08-02,6919,6678,241
2023-08-03,5628,5447,181
2023-08-04,4671,4560,111
2023-08-05,3996,3930,66
2023-08-06,4099,4062,37
2023-08-07,5110,4979,131
2023-08-08,5623,5468,155
2023-08-09,5192,5118,74
2023-08-10,5614,5487,127
2023-08-11,5177,5093,84
2023-08-12,4675,4604,71
2023-08-13,5004,4930,74
2023-08-14,5022,4960,62
2023-08-15,5279,5155,124
2023-08-16,4596,4531,65
2023-08-17,4280,4209,71
2023-08-18,5156,5054,102
2023-08-19,4632,4530,102
2023-08-20,5719,5618,101
2023-08-21,5013,4913,100
2023-08-22,4162,4032,130
2023-08-23,6118,5931,187
2023-08-24,3821,3781,40
2023-08-25,5099,5035,64
2023-08-26,3392,3335,57
2023-08-27,4113,4037,76
2023-08-28,7404,6965,439
2023-08-29,5740,5634,106
2023-08-30,4088,4021,67
2023-08-31,4973,4880,93
2023-09-01,3265,3155,110
2023-09-02,3139,3094,45
2023-09-03,3515,3405,110
2023-09-04,4211,4153,58
2023-09-05,4910,4860,50
2023-09-06,6918,6759,159
2023-09-07,8013,7901,112
2023-09-08,10262,10116,146
2023-09-09,5529,5459,70
2023-09-10,4593,4534,59
2023-09-11,9400,8622,778
2023-09-12,7693,7567,126
2023-09-13,5505,5336,169
2023-09-14,7079,6463,616
2023-09-15,8142,7964,178
2023-09-16,5928,5805,123
2023-09-17,5112,4981,131
2023-09-18,7494,7389,105
2023-09-19,4747,4675,72
2023-09-20,5353,5183,170
2023-09-21,4918,4781,137
2023-09-22,4953,4788,165
2023-09-23,4724,4653,71
2023-09-24,4723,4419,304
2023-09-25,5344,5183,161
2023-09-26,4101,3979,122
2023-09-27,4611,4476,135
2023-09-28,4282,4120,162
2023-09-29,4573,4466,107
2023-09-30,5844,5744,100
2023-10-01,4137,4076,61
2023-10-02,5548,5244,304
2023-10-03,5888,5742,146
2023-10-04,5246,5162,84
2023-10-05,4576,4485,91
2023-10-06,5271,5161,110
2023-10-07,4251,4208,43
2023-10-08,3788,3743,45
2023-10-09,4239,4119,120
2023-10-10,5566,5457,109
2023-10-11,4296,4241,55
2023-10-12,4397,4282,115
2023-10-13,7359,7277,82
2023-10-14,3564,3508,56
2023-10-15,3211,3143,68
2023-10-16,4837,4727,110
2023-10-17,4956,4869,87
2023-10-18,6353,6230,123
2023-10-19,5996,5846,150
2023-10-20,6766,6653,113
2023-10-21,4848,4781,67
2023-10-22,4659,4575,84
2023-10-23,4987,4802,185
2023-10-24,4600,4403,197
2023-10-25,5994,5927,67
2023-10-26,4556,4427,129
2023-10-27,5398,5326,72
2023-10-28,5687,5615,72
2023-10-29,4524,4448,76
2023-10-30,6953,6832,121
2023-10-31,5822,5723,99
2023-11-01,5926,5814,112
2023-11-02,4769,4682,87
2023-11-03,5409,5317,92
2023-11-04,4615,4553,62
2023-11-05,5054,5018,36
2023-11-06,6699,6332,367
2023-11-07,5290,5153,137
2023-11-08,5397,5283,114
2023-11-09,4684,4511,173
2023-11-10,3803,3609,194
2023-11-11,4027,3908,119
2023-11-12,3567,3495,72
2023-11-13,3837,3783,54
2023-11-14,5069,4844,225
2023-11-15,4110,4013,97
2023-11-16,3893,3764,129
2023-11-17,3578,3522,56
2023-11-18,3721,3504,217
2023-11-19,3557,3399,158
2023-11-20,3725,3653,72
2023-11-21,3530,3449,81
2023-11-22,4072,3919,153
2023-11-23,3270,3208,62
2023-11-24,4181,4117,64
2023-11-25,2867,2778,89
2023-11-26,3747,3691,56
2023-11-27,3946,3884,62
2023-11-28,4516,4397,119
2023-11-29,4103,3989,114
2023-11-30,4793,4684,109
2023-12-01,4327,3790,537
2023-12-02,4283,4177,106
2023-12-03,4390,4294,96
2023-12-04,4226,4169,57
2023-12-05,214,76,138
2023-12-06,3508,3402,106
2023-12-07,3710,3547,163
2023-12-08,4122,4025,97
2023-12-09,3762,3645,117
2023-12-10,3937,3847,90
2023-12-11,4026,3814,212
2023-12-12,3938,3815,123
2023-12-13,3431,3269,162
2023-12-14,3930,3820,110
2023-12-15,4273,4192,81
2023-12-16,4036,3940,96
2023-12-17,3458,3372,86
2023-12-18,3471,3325,146
2023-12-19,3065,2982,83
2023-12-20,3676,3590,86
2023-12-21,3312,3230,82
2023-12-22,3350,3240,110
2023-12-23,3020,2855,165
2023-12-24,2938,2557,381
2023-12-25,4037,3330,707
2023-12-26,2533,2399,134
2023-12-27,3065,2995,70
2023-12-28,2492,2372,120
2023-12-29,2919,2812,107
2023-12-30,3499,3313,186
2023-12-31,2926,2850,76
2024-01-01,3615,3367,248
2024-01-02,3019,2918,101
2024-01-03,3896,3651,245
2024-01-04,3754,3616,138
2024-01-05,3308,3112,196
2024-01-06,2908,2730,178
2024-01-07,2747,2555,192
2024-01-08,1273,1167,106
2024-01-09,3467,3297,170
2024-01-10,3979,3802,177
2024-01-11,4071,3859,212
2024-01-12,3454,3171,283
2024-01-13,4459,4172,287
2024-01-14,3475,3332,143
2024-01-15,3640,3466,174
2024-01-16,3557,3382,175
2024-01-17,3842,3678,164
2024-01-18,4775,4612,163
2024-01-19,5073,4681,392
2024-01-20,4328,4210,118
2024-01-21,4641,4402,239
2024-01-22,4521,4324,197
2024-01-23,4559,4249,310
2024-01-24,4165,3800,365
2024-01-25,4085,3848,237
2024-01-26,6320,5808,512
2024-01-27,5851,5177,674
2024-01-28,6835,6365,470
2024-01-29,6078,5428,650
2024-01-30,7541,6336,1205
2024-01-31,6992,6304,688
2024-02-01,5531,4844,687
2024-02-02,6990,6404,586
2024-02-03,7259,6187,1072
2024-02-04,6320,5798,522
2024-02-05,6003,5292,711
2024-02-06,7517,6969,548
2024-02-07,7023,6508,515
2024-02-08,7060,6588,472
2024-02-09,7024,6406,618
2024-02-10,5553,4786,767
2024-02-11,6293,5668,625
2024-02-12,7458,6942,516
2024-02-13,6988,6498,490
2024-02-14,7647,6993,654
2024-02-15,7382,6472,910
2024-02-16,6420,5626,794
2024-02-17,7142,6524,618
2024-02-18,7576,6920,656
2024-02-19,7331,6653,678
2024-02-20,5877,5343,534
2024-02-21,6040,5507,533
2024-02-22,6032,5504,528
2024-02-23,6221,5621,600
2024-02-24,7820,7232,588
2024-02-25,8095,7492,603
2024-02-26,6399,5991,408
2024-02-27,6385,5877,508
2024-02-28,6768,6040,728
2024-02-29,7349,6347,1002
2024-03-01,7750,7021,729
2024-03-02,7461,6870,591
2024-03-03,7948,7358,590
2024-03-04,8905,8099,806
2024-03-05,8193,7416,777
2024-03-06,7825,7052,773
2024-03-07,8957,8229,728
2024-03-08,8870,7996,874
2024-03-09,8639,8034,605
2024-03-10,8783,7958,825
2024-03-11,8491,7718,773
2024-03-12,8430,7596,834
2024-03-13,8485,7671,814
2024-03-14,9003,7758,1245
2024-03-15,9320,8002,1318
2024-03-16,10141,9196,945
2024-03-17,9183,8369,814
2024-03-18,8581,7769,812
2024-03-19,8278,6653,1625
2024-03-20,10303,8955,1348
2024-03-21,9241,8286,955
2024-03-22,8796,7838,958
2024-03-23,8007,7291,716
